DD,Dz,H,I,Pi2,Ne,mu,r,type
2.219972e-10,1.775974e-10,2e-05,1,4.883987e-10,1000,1e-08,1e-08,steady
2.219724e-10,1.775743e-10,2e-05,1,4.883872e-10,1000,1e-08,1e-07,steady
2.217241e-06,1.773438e-06,0.002,1,4.882719e-06,1000,1e-08,1e-06,steady
2.219724e-10,1.775743e-10,2e-05,1,4.883872e-10,1000,1e-07,1e-08,steady
2.219724e-08,1.775743e-08,2e-04,1,4.883872e-08,1000,1e-07,1e-07,steady
2.217241e-08,1.773438e-08,2e-04,1,4.882719e-08,1000,1e-07,1e-06,steady
2.217241e-06,1.773438e-06,0.002,1,4.882719e-06,1000,1e-06,1e-08,steady
2.217241e-08,1.773438e-08,2e-04,1,4.882719e-08,1000,1e-06,1e-07,steady
2.217241e-06,1.773438e-06,0.002,1,4.882719e-06,1000,1e-06,1e-06,steady
2.221724e-08,1.777343e-08,2e-04,1,4.888272e-08,10000,1e-08,1e-08,steady
2.219238e-08,1.775036e-08,2e-04,1,4.887118e-08,10000,1e-08,1e-07,steady
0.0002194694,0.0001752251,0.02,1,0.0004875725,10000,1e-08,1e-06,steady
2.219238e-08,1.775036e-08,2e-04,1,4.887118e-08,10000,1e-07,1e-08,steady
2.219238e-06,1.775036e-06,0.002,1,4.887118e-06,10000,1e-07,1e-07,steady
2.194694e-06,1.752251e-06,0.002,1,4.875725e-06,10000,1e-07,1e-06,steady
0.0002194694,0.0001752251,0.02,1,0.0004875725,10000,1e-06,1e-08,steady
2.194694e-06,1.752251e-06,0.002,1,4.875725e-06,10000,1e-06,1e-07,steady
0.0002194694,0.0001752251,0.02,1,0.0004875725,10000,1e-06,1e-06,steady
2.219438e-06,1.775195e-06,0.002,1,4.887558e-06,1e+05,1e-08,1e-08,steady
2.194892e-06,1.752408e-06,0.002,1,4.876164e-06,1e+05,1e-08,1e-07,steady
0.01976724,0.01550372,0.2,1,0.04775146,1e+05,1e-08,1e-06,steady
2.194892e-06,1.752408e-06,0.002,1,4.876164e-06,1e+05,1e-07,1e-08,steady
0.0002194892,0.0001752408,0.02,1,0.0004876164,1e+05,1e-07,1e-07,steady
0.0001976724,0.0001550372,0.02,1,0.0004775146,1e+05,1e-07,1e-06,steady
0.01976724,0.01550372,0.2,1,0.04775146,1e+05,1e-06,1e-08,steady
0.0001976724,0.0001550372,0.02,1,0.0004775146,1e+05,1e-06,1e-07,steady
0.01976724,0.01550372,0.2,1,0.04775146,1e+05,1e-06,1e-06,steady
2.219972e-10,1.775974e-10,2e-05,1,4.883987e-10,1000,1e-08,1e-08,final
2.219724e-10,1.775743e-10,2e-05,1,4.883872e-10,1000,1e-08,1e-07,final
2.217241e-06,1.773438e-06,0.002,1,4.882719e-06,1000,1e-08,1e-06,final
2.219724e-10,1.775743e-10,2e-05,1,4.883872e-10,1000,1e-07,1e-08,final
2.219724e-08,1.775743e-08,2e-04,1,4.883872e-08,1000,1e-07,1e-07,final
2.217241e-08,1.773438e-08,2e-04,1,4.882719e-08,1000,1e-07,1e-06,final
2.217241e-06,1.773438e-06,0.002,1,4.882719e-06,1000,1e-06,1e-08,final
2.217241e-08,1.773438e-08,2e-04,1,4.882719e-08,1000,1e-06,1e-07,final
2.217241e-06,1.773438e-06,0.002,1,4.882719e-06,1000,1e-06,1e-06,final
2.221724e-08,1.777343e-08,2e-04,1,4.888272e-08,10000,1e-08,1e-08,final
2.219238e-08,1.775036e-08,2e-04,1,4.887118e-08,10000,1e-08,1e-07,final
0.0002194694,0.0001752251,0.02,1,0.0004875725,10000,1e-08,1e-06,final
2.219238e-08,1.775036e-08,2e-04,1,4.887118e-08,10000,1e-07,1e-08,final
2.219238e-06,1.775036e-06,0.002,1,4.887118e-06,10000,1e-07,1e-07,final
2.194694e-06,1.752251e-06,0.002,1,4.875725e-06,10000,1e-07,1e-06,final
0.0002194694,0.0001752251,0.02,1,0.0004875725,10000,1e-06,1e-08,final
2.194694e-06,1.752251e-06,0.002,1,4.875725e-06,10000,1e-06,1e-07,final
0.0002194694,0.0001752251,0.02,1,0.0004875725,10000,1e-06,1e-06,final
2.219438e-06,1.775195e-06,0.002,1,4.887558e-06,1e+05,1e-08,1e-08,final
2.194892e-06,1.752408e-06,0.002,1,4.876164e-06,1e+05,1e-08,1e-07,final
0.01976724,0.01550372,0.2,1,0.04775146,1e+05,1e-08,1e-06,final
2.194892e-06,1.752408e-06,0.002,1,4.876164e-06,1e+05,1e-07,1e-08,final
0.0002194892,0.0001752408,0.02,1,0.0004876164,1e+05,1e-07,1e-07,final
0.0001976724,0.0001550372,0.02,1,0.0004775146,1e+05,1e-07,1e-06,final
0.01976724,0.01550372,0.2,1,0.04775146,1e+05,1e-06,1e-08,final
0.0001976724,0.0001550372,0.02,1,0.0004775146,1e+05,1e-06,1e-07,final
0.01976724,0.01550372,0.2,1,0.04775146,1e+05,1e-06,1e-06,final
