"mu","r","m_12","m_21","N_1_epoch_1","N_2_epoch_1","N_1_epoch_2","N_2_epoch_2","num_gen_epoch_2","num_epochs"
1e-08,0,1e-05,1e-05,10000,10000,1000,1000,5000,2
1e-08,0,1e-05,1e-05,1000,10000,100,1000,5000,2
1e-08,0,0,1e-05,10000,10000,1000,1000,5000,2
1e-08,0,1e-05,1e-05,1000,10000,100,1000,5000,2
1e-08,0,1e-05,1e-05,10000,10000,NA,NA,NA,1
1e-08,0,1e-05,1e-05,1000,10000,NA,NA,NA,1
1e-08,0,0,1e-05,10000,10000,NA,NA,NA,1
1e-08,0,1e-05,1e-05,1000,10000,NA,NA,NA,1
1e-08,1e-09,1e-05,1e-05,10000,10000,1000,1000,5000,2
1e-08,1e-09,1e-05,1e-05,1000,10000,100,1000,5000,2
1e-08,1e-09,0,1e-05,10000,10000,1000,1000,5000,2
1e-08,1e-09,1e-05,1e-05,1000,10000,100,1000,5000,2
1e-08,1e-09,1e-05,1e-05,10000,10000,NA,NA,NA,1
1e-08,1e-09,1e-05,1e-05,1000,10000,NA,NA,NA,1
1e-08,1e-09,0,1e-05,10000,10000,NA,NA,NA,1
1e-08,1e-09,1e-05,1e-05,1000,10000,NA,NA,NA,1
