num_epochs,mu,r,m_01,m_10,N_0,N_1,N_0_epoch_2,N_1_epoch_2,num_gen_epoch_2
1,1e-07,0,0,1e-05,10000,1e+05,NA,NA,NA
1,1e-07,0,0,1e-05,1e+05,1e+05,NA,NA,NA
1,1e-07,0,0,0.001,10000,1e+05,NA,NA,NA
1,1e-07,0,0,0.001,1e+05,1e+05,NA,NA,NA
1,1e-07,0,1e-05,1e-05,10000,1e+05,NA,NA,NA
1,1e-07,0,1e-05,1e-05,1e+05,1e+05,NA,NA,NA
1,1e-07,0,1e-05,0.001,10000,1e+05,NA,NA,NA
1,1e-07,0,1e-05,0.001,1e+05,1e+05,NA,NA,NA
1,1e-07,1e-06,0,1e-05,10000,1e+05,NA,NA,NA
1,1e-07,1e-06,0,1e-05,1e+05,1e+05,NA,NA,NA
1,1e-07,1e-06,0,0.001,10000,1e+05,NA,NA,NA
1,1e-07,1e-06,0,0.001,1e+05,1e+05,NA,NA,NA
1,1e-07,1e-06,1e-05,1e-05,10000,1e+05,NA,NA,NA
1,1e-07,1e-06,1e-05,1e-05,1e+05,1e+05,NA,NA,NA
1,1e-07,1e-06,1e-05,0.001,10000,1e+05,NA,NA,NA
1,1e-07,1e-06,1e-05,0.001,1e+05,1e+05,NA,NA,NA
